Datum,Feiertag,Name,Art,Details
29. Sep,Samstag,Sukkot Tag 6,"Fest- oder Gedenktag, Jüdisch",Bayern
30. Sep,Sonntag,Sukkot Tag 7,"Fest- oder Gedenktag, Jüdisch",Bayern
,,,,
1. Okt,Montag,Schmini Azeret,"Fest- oder Gedenktag, Jüdisch","Bremen, Saarland"
2. Okt,Dienstag,Simchat Torah,"Fest- oder Gedenktag, Jüdisch",Bremen
3. Okt,Mittwoch,Tag der Deutschen Einheit,Nationaler Feiertag,
7. Okt,Sonntag,Erntedankfest,Fest- oder Gedenktag,
7. Okt,Sonntag,Letzter tag des Wiesn (Oktoberfest),Fest- oder Gedenktag,Bayern
28. Okt,Sonntag,Ende der Sommerzeit,Zeitumstellung,
30. Okt,Dienstag,Weltspartag,Fest- oder Gedenktag,
31. Okt,Mittwoch,Reformationstag,"Fest- oder Gedenktag, Christlich","Bremen, BW"
31. Okt,Mittwoch,Reformationstag,Regionaler Feiertag,"BB, HB, HH, MVP, NDS, SH, SN, ST, TH"
31. Okt,Mittwoch,Halloween,Fest- oder Gedenktag,
,,,,
1. Nov,Donnerstag,Allerheiligen,"Gesetzlicher Feiertag, stiller Tag","BW, BY, NRW, RLP, SL"
1. Nov,Donnerstag,Allerheiligen,"Fest- oder Gedenktag, Christlich","HB, NDS*, SN, TH"
2. Nov,Freitag,Allerseelen,Stiller Tag,Niedersachsen*
9. Nov,Freitag,Gedenken an die Reichspogromnacht,Fest- oder Gedenktag,
9. Nov,Freitag,9. November,Fest- oder Gedenktag,Berlin
9. Nov,Freitag,Fall der Mauer,Fest- oder Gedenktag,
11. Nov,Sonntag,St. Martin,"Fest- oder Gedenktag, Christlich",
18. Nov,Sonntag,Volkstrauertag,Stiller Tag,
21. Nov,Mittwoch,Buß- und Bettag,Stiller Tag,"BY, SL, SN"
21. Nov,Mittwoch,Buß- und Bettag,"Fest- oder Gedenktag, Christlich","BW, HE, NDS, RLP, TH"
21. Nov,Mittwoch,Buß- und Bettag,"Christlich, Regionaler Feiertag",Sachsen
25. Nov,Sonntag,Totensonntag,Stiller Tag,
,,,,
2. Dez,Sonntag,Erster Advent,"Fest- oder Gedenktag, Christlich",
6. Dez,Donnerstag,Nikolaustag,"Fest- oder Gedenktag, Christlich",
8. Dez,Samstag,Mariä Empfängnis,"Fest- oder Gedenktag, Christlich",Sachsen
9. Dez,Sonntag,Zweiter Advent,"Fest- oder Gedenktag, Christlich",
16. Dez,Sonntag,Dritter Advent,"Fest- oder Gedenktag, Christlich",
19. Dez,Mittwoch,Gedenktag für Opfer des Völkermords an Roma und Sinti,Fest- oder Gedenktag,
21. Dez,Freitag,Dezember-Sonnenwende,Jahreszeit (kein Feiertag),
23. Dez,Sonntag,Vierter Advent,"Fest- oder Gedenktag, Christlich",
24. Dez,Montag,Heiligabend,Stiller Tag,
25. Dez,Dienstag,Erster Weihnachtstag,"Nationaler Feiertag, Christlich",
26. Dez,Mittwoch,Zweiter Weihnachtstag,"Nationaler Feiertag, Christlich",
31. Dez,Montag,Silvester,Bankfeiertag,
